Dataset,Model,Best Params,Accuracy,Recall,Precision,F1-Score,Precision-Recall AUC
SMOTE,XGBoost,"{'model__colsample_bytree': 0.749816047538945, 'model__learning_rate': 0.10507143064099161, 'model__max_depth': 5, 'model__n_estimators': 140}",0.9305180512378316,0.45368278355173974,0.3514175708785439,0.3960552268244576,0.3982409564501368
SMOTE,LightGBM,"{'model__learning_rate': 0.08796910002727693, 'model__n_estimators': 100, 'model__num_leaves': 36}",0.9486714016655698,0.3818346136466335,0.48591144335825187,0.4276315789473684,0.41393849454720283
SMOTE,LogisticRegression,"{'model__C': 1.0507143064099163, 'model__penalty': 'l2'}",0.8012208128162654,0.7089923181201988,0.16200309757356737,0.26374180534543623,0.3129140394822545
SMOTE,RandomForest,"{'model__max_depth': 6, 'model__min_samples_split': 4, 'model__n_estimators': 106}",0.8456511379881549,0.6809760506100316,0.19821123240825989,0.30704971475142623,0.3807414175178428
SMOTE,GradientBoosting,"{'model__learning_rate': 0.0831993941811405, 'model__max_depth': 3, 'model__n_estimators': 70}",0.8553858721550296,0.6999548124717578,0.21341967484155414,0.32710379051842464,0.38704659112741385
ADASYN,XGBoost,"{'model__colsample_bytree': 0.749816047538945, 'model__learning_rate': 0.10507143064099161, 'model__max_depth': 5, 'model__n_estimators': 140}",0.926320088951417,0.46678716674197923,0.3332258064516129,0.3888575192923019,0.36724859492801976
ADASYN,LightGBM,"{'model__learning_rate': 0.08796910002727693, 'model__n_estimators': 100, 'model__num_leaves': 36}",0.9466972248065534,0.3587889742431089,0.4605568445475638,0.4033528067056134,0.38967478550759815
ADASYN,LogisticRegression,"{'model__C': 0.8319939418114051, 'model__penalty': 'l2'}",0.7724477523883002,0.7433348395842747,0.14813147230977036,0.24703408920258296,0.3055938010303049
ADASYN,RandomForest,"{'model__max_depth': 6, 'model__min_samples_split': 4, 'model__n_estimators': 106}",0.7907826363203159,0.7586985991866245,0.16198745779064158,0.26697408173000475,0.34319584856983565
ADASYN,GradientBoosting,"{'model__learning_rate': 0.0831993941811405, 'model__max_depth': 3, 'model__n_estimators': 70}",0.8368013796546325,0.7243560777225486,0.19584605986560782,0.3083285247162916,0.34685431776144116
UnderSampling,XGBoost,"{'model__colsample_bytree': 0.8603553891795411, 'model__learning_rate': 0.015641157902710028, 'model__max_depth': 4, 'model__n_estimators': 117}",0.8149946674533118,0.780388612742883,0.18384074941451992,0.2975790471267339,0.40506230542140903
UnderSampling,LightGBM,"{'model__learning_rate': 0.047454011884736254, 'model__n_estimators': 94, 'model__num_leaves': 40}",0.8165377022396696,0.7740623587889742,0.18423316842331683,0.2976283554860568,0.42653674716820555
UnderSampling,LogisticRegression,"{'model__C': 0.47454011884736247, 'model__penalty': 'l2'}",0.7999046949102544,0.7044735652959783,0.1603414583976139,0.2612265415549598,0.3091147207198551
UnderSampling,RandomForest,"{'model__max_depth': 6, 'model__min_samples_split': 4, 'model__n_estimators': 106}",0.8183757289704782,0.736556710347944,0.1800905977240084,0.28941761363636365,0.39251105585972856
UnderSampling,GradientBoosting,"{'model__learning_rate': 0.047454011884736254, 'model__max_depth': 3, 'model__n_estimators': 64}",0.8149265923892078,0.7817442385901491,0.18398383494629372,0.2978650137741047,0.4015961889236769
NoSampling,XGBoost,"{'model__colsample_bytree': 0.749816047538945, 'model__learning_rate': 0.10507143064099161, 'model__max_depth': 5, 'model__n_estimators': 140}",0.9577707685674738,0.25395390872119294,0.727979274611399,0.3765494137353434,0.4671924612708631
NoSampling,LightGBM,"{'model__learning_rate': 0.08796910002727693, 'model__n_estimators': 100, 'model__num_leaves': 36}",0.957407701558919,0.25666516041572524,0.71,0.377032857616993,0.4648960574641296
NoSampling,LogisticRegression,"{'model__C': 0.47454011884736247, 'model__penalty': 'l2'}",0.9517574712382855,0.0867600542250339,0.6464646464646465,0.15298804780876493,0.33071195519962904
NoSampling,RandomForest,"{'model__max_depth': 6, 'model__min_samples_split': 4, 'model__n_estimators': 106}",0.9524382218793256,0.0596475372797108,0.8979591836734694,0.11186440677966102,0.4157264944895893
NoSampling,GradientBoosting,"{'model__learning_rate': 0.0831993941811405, 'model__max_depth': 3, 'model__n_estimators': 70}",0.9569311761101909,0.2589245368278355,0.6895306859205776,0.3764783180026281,0.4459280812483015
